full;1;1;00:12:ef:dc:03:d9
full;1;1;00:14:a4:4b:4b:3a
full;1;1;00:14:a4:5c:3e:f5
full;1;1;00:14:a4:7c:d6:3c
full;1;1;00:14:a4:7d:72:a3
full;1;1;00:17:0e:aa:98:a3
full;1;1;00:17:33:1b:13:b4
full;1;1;00:17:33:1b:9e:84
full;1;1;00:17:33:a7:ab:f0
full;1;1;00:17:33:d7:63:28
full;1;1;00:17:33:de:43:70
full;1;1;00:19:70:77:25:d2
full;1;1;00:19:70:79:cc:17
full;1;1;00:19:70:80:00:ed
full;1;1;00:19:7e:96:ea:69
full;1;1;00:19:7e:be:c6:0a
full;1;1;00:19:7e:d0:ec:b7
full;1;1;00:1a:2b:92:02:1a
full;1;1;00:1d:6a:9a:f9:90
full;1;1;00:1d:d9:1a:92:0d
full;1;1;00:1f:3a:96:4f:7e
full;1;1;00:1f:9f:e5:bc:2b
full;1;1;00:1f:9f:e8:29:c9
full;1;1;00:24:36:a8:7d:31
full;1;1;00:24:d4:5d:a5:24
full;1;1;00:24:d4:5d:a5:25
full;1;1;00:24:d4:5d:a5:26
full;1;1;00:24:d4:c7:54:f6
full;1;1;00:24:d4:d3:94:bc
full;1;1;00:24:d4:d3:94:bd
full;1;1;00:24:d4:d3:94:be
full;1;1;00:24:d4:e6:3c:6a
full;1;1;00:25:15:1c:ce:ec
full;1;1;00:25:15:1f:4b:4c
full;1;1;00:25:15:1f:ad:bc
full;1;1;00:25:15:29:aa:9c
full;1;1;00:25:15:9d:46:40
full;1;1;00:25:15:ae:58:40
full;1;1;00:25:15:e7:4d:bc
full;1;1;00:26:5a:45:88:98
full;1;1;00:26:5a:45:88:99
full;1;1;00:26:5a:45:88:9a
full;1;1;00:78:9e:95:15:64
full;1;1;02:78:9e:58:4b:11
full;1;1;12:4e:ff:cb:4c:10
full;1;1;12:4e:ff:cb:4c:12
full;1;1;12:4e:ff:cb:4c:13
full;1;1;14:0c:76:f4:42:54
full;1;1;14:0c:76:f4:42:55
full;1;1;14:0c:76:f4:42:56
full;1;1;16:ef:08:09:85:28
full;1;1;16:ef:08:09:85:2a
full;1;1;16:ef:08:09:85:2b
full;1;1;1a:77:3f:d6:3f:b8
full;1;1;1a:77:3f:d6:3f:ba
full;1;1;1a:77:3f:d6:3f:bb
full;1;1;24:69:a5:06:b8:9e
full;1;1;24:95:04:0a:1d:f4
full;1;1;24:95:04:71:06:8c
full;1;1;24:95:04:73:19:a4
full;1;1;24:95:04:77:00:84
full;1;1;24:95:04:7e:4f:7c
full;1;1;24:95:04:81:53:0c
full;1;1;24:95:04:8c:3c:0c
full;1;1;24:ec:99:02:2c:9b
full;1;1;24:ec:99:02:8e:1b
full;1;1;24:ec:99:02:9f:c3
full;1;1;24:ec:99:8f:85:a0
full;1;1;24:ec:99:8f:86:16
full;1;1;24:ec:99:a5:e1:c9
